0x0001		0x00000001		0	0
0x0002		0x00000002		0	0
0x0003		0x00000003		0	0
0x0004		0x00000004		0	0
0x0005		0x00000005		0	0
0x0006		0x00000006		0	0
0x0007		0x00000007		0	0
0x0008		0x00000008		0	0
0x0009		0x00000009		0	0
0x000a		0x0000000a		0	0
0x000b		0x0000000b		0	0
0x000c		0x0000000c		0	0
0x000d		0x0000000d		0	0
0x000e		0x0000000e		0	0
0x000f		0x0000000f		0	0
0x0010		0x00000010		0	0
0x0011		0x00000011		0	0
0x0012		0x00000012		0	0
0x0013		0x00000013		0	0
0x0014		0x00000014		0	0
0x0015		0x00000015		0	0
0x0016		0x00000016		0	0
0x0017		0x00000017		0	0
0x0018		0x00000018		0	0
0x0019		0x00000019		0	0
0x001a		0x0000001a		0	0
0x001b		0x0000001b		0	0
0x001c		0x0000001c		0	0
0x001d		0x0000001d		0	0
0x001e		0x0000001e		0	0
0x001f		0x0000001f		0	0
0x0020		0x00000020		0	0
0x0021	!	0x00000021	!	0	0
0x0022	"	0x00000022	"	0	0
0x0023	#	0x00000023	#	0	0
0x0024	$	0x00000024	$	0	0
0x0025	%	0x00000025	%	0	0
0x0026	&	0x00000026	&	0	0
0x0027	'	0x00000027	'	0	0
0x0028	(	0x00000028	(	0	0
0x0029	)	0x00000029	)	0	0
0x002a	*	0x0000002a	*	0	0
0x002b	+	0x0000002b	+	0	0
0x002c	,	0x0000002c	,	0	0
0x002d	-	0x0000002d	-	0	0
0x002e	.	0x0000002e	.	0	0
0x002f	/	0x0000002f	/	0	0
0x0030	0	0x00000030	0	0	0
0x0031	1	0x00000031	1	0	0
0x0032	2	0x00000032	2	0	0
0x0033	3	0x00000033	3	0	0
0x0034	4	0x00000034	4	0	0
0x0035	5	0x00000035	5	0	0
0x0036	6	0x00000036	6	0	0
0x0037	7	0x00000037	7	0	0
0x0038	8	0x00000038	8	0	0
0x0039	9	0x00000039	9	0	0
0x003a	:	0x0000003a	:	0	0
0x003b	;	0x0000003b	;	0	0
0x003c	<	0x0000003c	<	0	0
0x003d	=	0x0000003d	=	0	0
0x003e	>	0x0000003e	>	0	0
0x003f	?	0x0000003f	?	0	0
0x0040	@	0x00000040	@	0	0
0x0041	A	0x00000041	A	0	0
0x0042	B	0x00000042	B	0	0
0x0043	C	0x00000043	C	0	0
0x0044	D	0x00000044	D	0	0
0x0045	E	0x00000045	E	0	0
0x0046	F	0x00000046	F	0	0
0x0047	G	0x00000047	G	0	0
0x0048	H	0x00000048	H	0	0
0x0049	I	0x00000049	I	0	0
0x004a	J	0x0000004a	J	0	0
0x004b	K	0x0000004b	K	0	0
0x004c	L	0x0000004c	L	0	0
0x004d	M	0x0000004d	M	0	0
0x004e	N	0x0000004e	N	0	0
0x004f	O	0x0000004f	O	0	0
0x0050	P	0x00000050	P	0	0
0x0051	Q	0x00000051	Q	0	0
0x0052	R	0x00000052	R	0	0
0x0053	S	0x00000053	S	0	0
0x0054	T	0x00000054	T	0	0
0x0055	U	0x00000055	U	0	0
0x0056	V	0x00000056	V	0	0
0x0057	W	0x00000057	W	0	0
0x0058	X	0x00000058	X	0	0
0x0059	Y	0x00000059	Y	0	0
0x005a	Z	0x0000005a	Z	0	0
0x005b	[	0x0000005b	[	0	0
0x005c	\	0x0000005c	\	0	0
0x005d	]	0x0000005d	]	0	0
0x005e	^	0x0000005e	^	0	0
0x005f	_	0x0000005f	_	0	0
0x0060	`	0x00000060	`	0	0
0x0061	a	0x00000061	a	0	0
0x0062	b	0x00000062	b	0	0
